pmid,year
4573996,1973
4573995,1973
4540829,1973
4349877,1973
4145012,1973
4739880,1973
4739879,1973
4739878,1973
4739877,1973
4739876,1973
4739875,1973
4739874,1973
4739873,1973
4739872,1973
4739871,1973
4739870,1973
4739869,1973
4739868,1973
4739867,1973
4739866,1973
4739865,1973
4739864,1973
4739863,1973
4739862,1973
4739861,1973
4739860,1973
4739859,1973
4573922,1973
4573921,1973
4540816,1973
4267244,1973
4267243,1973
4739936,1973
4739935,1973
4739934,1973
4739933,1973
4739932,1973
4739931,1973
4739930,1973
4739929,1973
4739928,1973
4739927,1973
4739926,1973
4739925,1973
4739924,1973
4739923,1973
4739922,1973
4739921,1973
4739920,1973
4739919,1973
4739918,1973
4739917,1973
4739916,1973
4574098,1973
4574097,1973
4574096,1973
4267354,1973
4145027,1973
4739699,1973
4739698,1973
4739697,1973
4739696,1973
4739695,1973
4739694,1973
4739693,1973
4739692,1973
4739691,1973
4739690,1973
4739689,1973
4739688,1973
4739687,1973
4739686,1973
4739685,1973
4739684,1973
4739683,1973
4572522,1973
4540527,1973
4540526,1973
4512225,1973
4266814,1973
4144552,1973
4739797,1973
4739796,1973
4739795,1973
4739794,1973
4739793,1973
4739792,1973
4739791,1973
4739790,1973
4739789,1973
4739788,1973
4739787,1973
4739786,1973
4739785,1973
4739784,1973
4739783,1973
4739782,1973
4739781,1973
4739773,1973
4739772,1973
4739771,1973
4739770,1973
4739769,1973
4739768,1973
4739767,1973
4739766,1973
4739765,1973
4739764,1973
4739763,1973
4739762,1973
4739761,1973
4739760,1973
4739759,1973
4739758,1973
4739757,1973
4739756,1973
4739755,1973
4739754,1973
4739753,1973
4739752,1973
4739751,1973
4739750,1973
4739749,1973
4739748,1973
4739747,1973
4739746,1973
4739745,1973
4739744,1973
4739743,1973
4739742,1973
4739741,1973
4739740,1973
4739739,1973
4739738,1973
4739737,1973
4739736,1973
4573113,1973
4573030,1973
4573029,1973
4573028,1973
4573027,1973
4550032,1973
4550031,1973
4550030,1973
4550029,1973
4550028,1973
4550027,1973
4540647,1973
4540634,1973
4540633,1973
4540632,1973
4540631,1973
4540630,1973
4540629,1973
4540628,1973
4512447,1973
4354633,1973
4349287,1973
4349286,1973
4349285,1973
4349284,1973
4266985,1973
4266984,1973
4266957,1973
4266956,1973
4266955,1973
4266954,1973
4266953,1973
4144663,1973
4144662,1973
4121651,1973
4121553,1973
4121552,1973
4121551,1973
4121550,1973
12333580,1973
12333579,1973
12333578,1973
4739627,1973
4739626,1973
4739625,1973
4739624,1973
4739623,1973
4739622,1973
4739621,1973
4739620,1973
4739619,1973
4739618,1973
4739617,1973
4739616,1973
4739615,1973
4739614,1973
4739613,1973
4739612,1973
4739611,1973
4739610,1973
4739609,1973
4739608,1973
4739607,1973
4739606,1973
4571717,1973
4540405,1973
4348503,1973
4121054,1973
12257878,1973
4739546,1973
4739545,1973
4739544,1973
4739543,1973
4739542,1973
4739541,1973
4739540,1973
4739539,1973
4739538,1973
4739537,1973
4739536,1973
4739535,1973
4739534,1973
4739533,1973
4632443,1973
4570929,1973
4570928,1973
4540265,1973
4739515,1973
4739514,1973
4739513,1973
4739512,1973
4739511,1973
4739510,1973
4739509,1973
4739508,1973
4739507,1973
4739506,1973
4739505,1973
4739504,1973
4739503,1973
4739502,1973
4739501,1973
4739500,1973
4739499,1973
4739498,1973
4739497,1973
4739496,1973
4739495,1973
4739494,1973
4739493,1973
4739492,1973
4632145,1973
4632144,1973
4570291,1973
4511295,1973
4347745,1973
4266078,1973
12257880,1973
12257879,1973
4739486,1973
4739485,1973
4739484,1973
4739483,1973
4739482,1973
4739481,1973
4739480,1973
4739479,1973
4739478,1973
4739477,1973
4570149,1973
4570148,1973
4570147,1973
4570146,1973
4570145,1973
4570144,1973
4570143,1973
4570142,1973
4570141,1973
4570140,1973
4570139,1973
4570138,1973
4570137,1973
4347651,1973
4347650,1973
4347649,1973
4347648,1973
4120334,1973
4120333,1973
4740041,1973
4740040,1973
4740039,1973
4740038,1973
4740037,1973
4740036,1973
4740035,1973
4740034,1973
4740033,1973
4740032,1973
4740031,1973
4740030,1973
4740029,1973
4574482,1973
4574481,1973
4574480,1973
4574479,1973
4513133,1973
4513132,1973
4350202,1973
4196155,1973
4196154,1973
12307117,1973
12307116,1973
4739415,1973
4739414,1973
4739413,1973
4739412,1973
4739411,1973
4739410,1973
4739409,1973
4739408,1973
4739407,1973
4739406,1973
4739405,1973
4739404,1973
4739403,1973
4739402,1973
4739401,1973
4739400,1973
4739399,1973
4739398,1973
4631476,1973
4631475,1973
4631474,1973
4631473,1973
4568983,1973
4568982,1973
4739449,1973
4739346,1973
4739345,1973
4739344,1973
4739343,1973
4739342,1973
4739341,1973
4739340,1973
4739339,1973
4739338,1973
4739337,1973
4739336,1973
4739335,1973
4739334,1973
4739333,1973
4739332,1973
4739331,1973
4739330,1973
4739329,1973
4739328,1973
4739327,1973
4739326,1973
4739325,1973
4568623,1973
4265572,1973
4265571,1973
12276911,1973
4739390,1973
4739389,1973
4739388,1973
4739387,1973
4739386,1973
4739385,1973
4739384,1973
4739383,1973
4739382,1973
4739381,1973
4739380,1973
4739379,1973
4739378,1973
4739377,1973
4739376,1973
4739375,1973
4739374,1973
4739373,1973
4739372,1973
4739371,1973
4739370,1973
4631405,1973
4568827,1973
4265649,1973
4119819,1973
4119818,1973
4119817,1973
4739438,1973
4739307,1973
4739306,1973
4739305,1973
4739304,1973
4739303,1973
4739302,1973
4739301,1973
4739300,1973
4739299,1973
4739298,1973
4739297,1973
4739296,1973
4739295,1973
4739294,1973
4631019,1973
4631018,1973
4569482,1973
4568092,1973
4510011,1973
4486588,1973
4265409,1973
12334419,1973
4739248,1973
4739247,1973
4739246,1973
4739245,1973
4739244,1973
4739243,1973
4739242,1973
4739241,1973
4739240,1973
4739239,1973
4739238,1973
4739237,1973
4739236,1973
4739235,1973
4739234,1973
4630702,1973
4630701,1973
4630700,1973
4567481,1973
4567480,1973
4567479,1973
4539700,1973
4265169,1973
4739274,1973
4739273,1973
4739272,1973
4739271,1973
4739270,1973
4739269,1973
4739268,1973
4739267,1973
4739266,1973
4739265,1973
4739264,1973
4739263,1973
4739262,1973
4739261,1973
4739260,1973
4739259,1973
4739258,1973
4739257,1973
4739256,1973
4630805,1973
4567690,1973
4567689,1973
4539725,1973
4539724,1973
4346283,1973
4265252,1973
4739212,1973
4739211,1973
4739210,1973
4739209,1973
4739208,1973
4739207,1973
4739206,1973
4739205,1973
4739204,1973
4739203,1973
4739202,1973
4739201,1973
4739200,1973
4739199,1973
4739198,1973
4739197,1973
4739196,1973
4739195,1973
4739194,1973
4739193,1973
4739192,1973
4739191,1973
4739190,1973
4739189,1973
4739188,1973
4567039,1973
4567038,1973
4739156,1973
4739155,1973
4739154,1973
4739153,1973
4739152,1973
4739151,1973
4739150,1973
4739149,1973
4739148,1973
4739147,1973
4739146,1973
4739145,1973
4739144,1973
4739143,1973
4739142,1973
4739141,1973
4739140,1973
4739139,1973
4739138,1973
4739137,1973
4739136,1973
4739135,1973
4739134,1973
4739133,1973
4565469,1973
4565468,1973
4344871,1973
4344870,1973
4739132,1973
4739131,1973
4739130,1973
4739129,1973
4739128,1973
4739127,1973
4739126,1973
4739125,1973
4739124,1973
4739123,1973
4739122,1973
4739121,1973
4739120,1973
4739119,1973
4739118,1973
4739117,1973
4739116,1973
4739115,1973
4739114,1973
4739113,1973
4739112,1973
4739111,1973
4739110,1973
4629610,1973
4565467,1973
4344869,1973
12333202,1973
12333201,1973
11663137,1973
12276777,1973
4739472,1973
4739471,1973
4739470,1973
4739469,1973
4739468,1973
4739467,1973
4739466,1973
4739465,1973
4739464,1973
4739463,1973
4739462,1973
4739461,1973
4739460,1973
4739459,1973
4739458,1973
4739457,1973
4739456,1973
4739455,1973
4739454,1973
4739453,1973
4631886,1973
4569820,1973
4569819,1973
4569818,1973
4540138,1973
4510938,1973
4510937,1973
4347487,1973
4120232,1973
4120231,1973
12276533,1973
12276532,1973
4739109,1973
4739108,1973
4739107,1973
4739106,1973
4739105,1973
4739104,1973
4739103,1973
4739102,1973
4739101,1973
4739100,1973
4739099,1973
4739098,1973
4739097,1973
4739096,1973
4739095,1973
4739094,1973
4739093,1973
4739092,1973
4739091,1973
4739090,1973
4739089,1973
4739088,1973
4739087,1973
4739086,1973
4739085,1973
4739084,1973
4629592,1973
4629591,1973
4629590,1973
4404803,1973
