inst_id,perc_expend_basic,perc_basic_fed,perc_hhs_fund_ls,perc_sal,perc_cap,perc_ls_cap,perc_ls_biohs,applied_expend,basic_expend,basic_fed_expend,dev_expend,expend_capital,expend_salaries,ls_fund,hs_fund,bio_fund,ls_cap_expend,phd_granting,ba_granting,ma_granting,prof_granting,hbcu_flag,med_sch,hhe_flag,public,RD_Spending_Index
3517,,,,0.8239796,0.0076530613,1.0,,392.0,,,,3.0,323.0,,,,3.0,0.0,0.0,0.0,1.0,0,,0,0.0,-0.6805941308728635
3519,0.40049437,0.92856705,0.023809524,0.5809815,,,,476.5,319.5,298.0,,,462.5,147.0,,147.0,,0.0,0.0,1.0,0.0,0,,0,0.0,-0.9114944258288256
3522,0.523492,0.60287255,0.13709226,0.57126844,0.039620616,0.77941704,0.10132162,6897.7692307692305,9441.615384615385,5743.153846153846,1661.7692307692307,706.0,10454.76923076923,13412.615,179.4,1227.6364,581.8461538461538,1.0,0.0,0.0,0.0,1,,0,1.0,-0.8849164657005943
3523,0.60680616,0.46122506,0.0149845015,0.48032168,0.040852595,0.08535808,0.39338806,3204.3076923076924,7796.846153846154,3650.3076923076924,1858.1538461538462,519.0,6113.692307692308,1972.8462,130.5,669.0769,41.833333333333336,1.0,0.0,0.0,0.0,0,,0,1.0,-0.9553017649105082
3529,0.78869754,0.15390106,0.14491427,0.68832296,0.03722701,0.31392837,1.0,1922.076923076923,6954.538461538462,1230.2307692307693,17.0,343.2307692307692,5996.153846153846,663.2308,159.0,531.9231,74.44444444444444,1.0,0.0,0.0,0.0,0,,0,1.0,-0.9468464245506971
3530,0.8077083,0.53328407,0.31906262,0.51775724,0.04666291,0.12853105,0.78394914,42252.38461538462,179389.76923076922,91364.76923076923,1428.5,10142.846153846154,117663.92307692308,36086.383,4897.5386,17315.46,1425.3076923076924,1.0,0.0,0.0,0.0,0,,0,1.0,1.3364605063100008
3531,0.45064783,0.06461147,,0.88693416,0.028350515,,,482.0,468.3333333333333,15.0,125.0,33.0,895.3333333333334,,,,,0.0,0.0,1.0,0.0,0,,0,1.0,-0.9963134819203904
3534,0.402381,0.81740373,0.0,0.4341013,0.2731949,0.2649934,,813.5,342.6,214.6,2.75,276.0,444.4,180.2,,207.75,47.25,0.0,1.0,0.0,0.0,0,,0,0.0,-1.3275351708530754
3537,0.5592526,0.7202014,0.0,0.53210497,0.035269678,,,53.0,626.25,442.75,3148.3333333333335,211.0,1658.5,,,,,1.0,0.0,0.0,0.0,0,,0,0.0,-0.8964157262609838
3543,0.9308756,0.089108914,,0.4562212,0.05529954,0.16666667,,15.0,202.0,18.0,,12.0,99.0,,,,2.0,0.0,0.0,1.0,0.0,0,,0,0.0,-0.8734598562999256
3545,0.94351286,0.2158827,0.40073538,0.47787574,0.071048535,0.13284022,0.90019745,529.6923076923077,26927.53846153846,5554.615384615385,882.0769230769231,2091.769230769231,13410.153846153846,5166.769,2003.5454,2999.923,314.75,1.0,0.0,0.0,0.0,0,,0,0.0,-0.5730672617246122
3565,0.7695548,0.36211312,0.12472144,0.48458856,0.034312136,0.62165654,,827.2727272727273,2502.153846153846,856.8461538461538,165.3,127.63636363636364,1619.8461538461538,777.1539,,347.4,104.5,1.0,0.0,0.0,0.0,0,,0,1.0,-0.9541113829963158
3581,0.43160242,0.49019495,0.18454972,0.49871913,0.09985931,0.14344603,1.0,1195.7692307692307,1669.7692307692307,787.3846153846154,1098.3076923076924,384.2307692307692,2015.3846153846155,281.6,309.66666,95.375,53.6,1.0,0.0,0.0,0.0,0,,0,1.0,-0.9750331155433152
3584,0.4335089,0.65861297,,0.4677763,0.021992238,,,151.5,340.0,224.0,293.0,17.0,367.5,,,,,0.0,0.0,1.0,0.0,0,,0,0.0,-0.8448256841390641
3592,0.20402299,,0.396875,0.35449806,0.0067340066,,1.0,584.0,71.0,,,6.0,235.5,434.5,476.0,74.5,,0.0,0.0,1.0,0.0,0,,0,1.0,-0.6401924060940609
3594,0.84952265,0.28522417,0.15472671,0.5822826,0.067667216,0.18235034,0.9245248,7230.0,47851.46153846154,12093.076923076924,370.84615384615387,3740.153846153846,33961.53846153846,10887.538,1516.5714,9165.462,606.0,1.0,0.0,0.0,0.0,0,,1,1.0,-0.39819402617774685
3604,0.81855226,0.5686536,0.61369324,0.4667606,0.044964857,0.09051603,,19045.153846153848,125792.0,70254.69230769231,11169.076923076924,6888.692307692308,73449.07692307692,13463.385,,13460.923,628.4615384615385,1.0,0.0,0.0,0.0,0,,0,0.0,0.7704694887684689
3606,0.67239636,0.3924237,0.08713346,0.46228468,0.027000247,0.4470551,0.9446099,1515.8461538461538,5214.692307692308,1945.7692307692307,290.45454545454544,149.6153846153846,3496.153846153846,1489.1538,1010.0,1103.6154,35.81818181818182,1.0,0.0,0.0,0.0,0,1.0,1,1.0,-0.9354410515217382
3613,0.90457046,0.48978055,0.99518025,0.4863243,0.07226216,0.11752319,,2255.076923076923,30104.0,13657.0,1142.0,2480.4615384615386,16487.46153846154,1656.0769,,1628.3846,200.91666666666666,1.0,0.0,0.0,0.0,0,,0,0.0,-0.2427382753039622
3615,0.68823993,0.3825965,0.37113693,0.4982817,0.052932687,0.24439186,0.8103711,12520.846153846154,39387.0,15477.461538461539,3627.846153846154,2742.3846153846152,28275.46153846154,8403.846,1072.5555,5924.3076,685.5384615384615,1.0,0.0,0.0,0.0,0,,1,1.0,-0.31195258590186814
3624,0.4029987,0.36857444,0.0050571486,0.6373384,0.03351362,0.57014763,,2554.076923076923,1993.3846153846155,802.0769230769231,1132.0,164.46153846153845,2900.6153846153848,2232.0,98.0,492.14285,85.92307692307692,1.0,0.0,0.0,0.0,0,,0,1.0,-1.0850697766658535
3625,0.787663,0.21671754,0.025729444,0.5463648,0.018934466,0.8001949,0.58250195,410.7692307692308,1956.3846153846155,447.9230769230769,179.0,49.714285714285715,1322.8461538461538,1641.3846,254.0,884.0,42.285714285714285,0.0,0.0,1.0,0.0,0,,1,1.0,-1.2025289693467704
3630,0.60344225,0.372115,0.008212546,0.620107,0.045521278,0.6256803,0.02684992,5931.076923076923,9277.153846153846,3559.6923076923076,172.1818181818182,697.4615384615385,9620.923076923076,8215.923,78.42857,192.09091,420.6923076923077,1.0,0.0,0.0,0.0,1,,0,1.0,-1.0094829386084858
3631,0.3418052,0.1262346,0.0,0.498991,0.02404875,0.49927765,,5862.307692307692,3943.769230769231,773.25,2935.6363636363635,282.0,6432.2307692307695,6457.769,,249.0,111.66666666666667,1.0,0.0,0.0,0.0,0,,0,1.0,-0.9908770173886968
3632,0.7342561,0.38764423,0.47659665,0.42301163,0.03852271,0.32992265,0.42972323,212029.38461538462,651173.6153846154,252205.76923076922,39365.230769230766,34972.307692307695,380175.6153846154,333599.3,96693.16,54623.0,11780.461538461539,1.0,0.0,0.0,0.0,0,1.0,1,1.0,7.958013206546906
3636,0.89606166,0.5186205,0.8122434,0.50086546,0.0054742424,0.6530106,0.8543385,1364.1666666666667,8205.153846153846,3879.230769230769,582.6666666666666,54.875,4080.076923076923,983.3077,992.2857,179.11111,42.0,1.0,0.0,0.0,0.0,0,1.0,0,0.0,-0.5869557151550969
3639,0.5060648,0.3690108,0.22662444,0.5249889,0.029433846,0.55206543,0.067361966,8975.76923076923,10681.307692307691,3914.923076923077,1143.7692307692307,606.3076923076923,10861.76923076923,14096.462,27.666666,1175.1538,332.3076923076923,1.0,0.0,0.0,0.0,0,,1,1.0,-0.8498297071246285
3642,0.8961609,0.6999646,0.67182,0.45056778,0.03486547,0.6854134,,482.0,5951.153846153846,4082.769230769231,307.1818181818182,299.22222222222223,2804.5384615384614,3279.4167,,2567.75,274.375,1.0,0.0,0.0,0.0,1,,0,1.0,-0.6269272079883595
3644,0.61642396,0.15062924,0.16654752,0.59623826,0.110692896,0.2432393,0.30893022,52731.846153846156,104994.92307692308,16287.461538461539,15692.076923076924,18939.30769230769,103699.53846153847,43581.31,3446.75,10629.462,4705.461538461538,1.0,0.0,0.0,0.0,0,,1,1.0,1.4499432278663213
3646,0.239158,0.38634077,0.6334902,0.40299925,0.13652569,0.7752003,0.99280626,2857.923076923077,871.0,331.2307692307692,,524.0,1539.6153846153845,2229.1538,1786.6666,816.0833,417.0769230769231,1.0,0.0,0.0,0.0,0,,1,1.0,-0.7199555775076567
3647,0.8242226,0.4863255,0.31272855,0.2936396,0.109019026,0.31626827,,427.0769230769231,2258.4615384615386,998.9230769230769,89.0,272.0833333333333,789.5384615384615,430.07693,,425.3846,100.0,0.0,0.0,1.0,0.0,0,,0,0.0,-0.9976234586496223
3651,0.57058823,0.41237113,,0.44117647,0.2882353,,,73.0,97.0,40.0,,49.0,75.0,,,,,1.0,0.0,0.0,0.0,0,,0,0.0,-0.8207882056839562
3652,0.8140151,0.37326816,0.8531516,0.45755953,0.0704623,0.16707614,0.96640754,24275.46153846154,131375.23076923078,46422.38461538462,7374.615384615385,11211.76923076923,73798.46153846153,28884.691,16917.46,10888.692,1900.3846153846155,1.0,0.0,0.0,0.0,0,1.0,1,1.0,1.1167003541483522
3656,0.70543593,0.35818383,0.6475328,0.45569524,0.07339788,0.19731835,0.73280007,17490.76923076923,72272.76923076923,24731.69230769231,9031.076923076924,7178.7692307692305,45612.92307692308,12615.923,6495.75,5160.769,1373.5384615384614,1.0,0.0,0.0,0.0,0,,1,1.0,0.35063686953538437
3657,0.82905024,0.21598296,0.94636804,0.58054155,0.029410465,0.95506305,0.9950385,29635.30769230769,723544.6153846154,153915.23076923078,115530.69230769231,25414.153846153848,499089.46153846156,803004.06,521572.47,276247.84,24377.615384615383,1.0,0.0,0.0,0.0,0,,1,1.0,9.101320397835517
3658,0.82510585,0.51607484,0.7557178,0.47877628,0.06882267,0.080069825,0.9544757,115129.0,553166.0769230769,286140.92307692306,3949.846153846154,46687.92307692308,322188.76923076925,97791.766,39243.46,53880.08,3437.5384615384614,1.0,0.0,0.0,0.0,0,1.0,1,1.0,6.515675899196266
3659,0.8095147,0.54752225,0.85926545,0.46413288,0.024931261,1.0,0.9204822,27316.53846153846,155824.84615384616,85198.46153846153,9293.0,4755.384615384615,89569.30769230769,192434.39,117326.305,59760.54,4755.384615384615,1.0,0.0,0.0,0.0,0,1.0,1,1.0,1.4765153850195023
3660,0.69551975,0.53212225,0.9397472,0.51051235,0.027511079,1.0,0.981517,111563.15384615384,336872.53846153844,178587.3076923077,65898.88888888889,13352.76923076923,250873.92307692306,494058.0,295531.84,189569.53,13352.76923076923,1.0,0.0,0.0,0.0,0,1.0,0,1.0,5.325519761592881
3661,0.35168415,0.63974553,0.7446793,0.4483784,0.04708638,0.26603946,0.8606593,44539.0,33035.46153846154,21265.0,15276.846153846154,4501.923076923077,42375.92307692308,24295.77,5158.077,15848.846,1182.076923076923,1.0,0.0,0.0,0.0,0,,1,1.0,0.30723213266578386
