id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,9,A5052415699,Michael E. Malcom,"TRW, 1 Space Park, Redondo Beach, CA 90278",,,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,10,A5069744644,W. Golisch,"Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822;",University of Hawaii System,I1331384533,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,11,A5023102138,D. Griep,"Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822;",University of Hawaii System,I1331384533,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,12,A5066251946,C. Kaminski,"Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822;",University of Hawaii System,I1331384533,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,13,A5081663254,A. T. Tokunaga,"Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822;",University of Hawaii System,I1331384533,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,14,A5043635821,R. L. Baron,"Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822;",University of Hawaii System,I1331384533,1
W2055236202,"Thermal Maps of Jupiter: Spatial Organization and Time Dependence of Stratospheric Temperatures, 1980 to 1990",1991-04-26,84,journal-article,17838486,15,A5071950819,M. A. Shure,"Institute for Astronomy, University of Hawaii, 2680 Woodlawn Drive, Honolulu, HI 96822;",University of Hawaii System,I1331384533,1
W2001854754,The Gifted Student and Research,1922-12-08,17,journal-article,17838494,1,A5007499842,Carl E. Seashore,State University of lowa,,,1
W1974234874,"THE EFFECT OF X-RAYS ON POTATO TUBERS FOR ""SEED""",1929-06-07,9,journal-article,17838525,1,A5030680930,Howard B. Sprague,,,,1
W1974234874,"THE EFFECT OF X-RAYS ON POTATO TUBERS FOR ""SEED""",1929-06-07,9,journal-article,17838525,2,A5072206024,M. Lenz,,,,1
W2074088295,THE COMPOSITION OF PECULIAR CLINKERS FOUND IN SNAGS AFTER FOREST FIRES,1929-06-07,6,journal-article,17838524,1,A5079752630,D. T. Englis,,,,1
W2074088295,THE COMPOSITION OF PECULIAR CLINKERS FOUND IN SNAGS AFTER FOREST FIRES,1929-06-07,6,journal-article,17838524,2,A5025624807,W. N. Day,,,,1
W2094774515,FRESH WATER COELENTERATA IN KENTUCKY,1922-12-08,5,journal-article,17838504,1,A5001215087,H Garman,,,,1
W1995025767,The Beginnings of American Geology,1922-12-08,3,journal-article,17838500,1,A5022069647,T. C. Mendenhall,"Ravenna, Ohio",,,1
W2003883230,SERIES REGULARITIES IN THE ARC SPECTRUM OF CHROMIUM,1922-12-08,3,journal-article,17838506,1,A5058103378,C. C. Kiess,,,,1
W2003883230,SERIES REGULARITIES IN THE ARC SPECTRUM OF CHROMIUM,1922-12-08,3,journal-article,17838506,2,A5015436020,Harriet Knudsen Kiess,,,,1
W2026678051,A POSSIBLE METHOD OF ENHANCING THE THERAPEUTIC ACTION OF ANTIBACTERIAL SERUMS,1929-06-07,3,journal-article,17838523,1,A5091201859,Ada R. Clark,"College of Physicians and Surgeons, Columbia University",Columbia College,I4210163064,1
W2026678051,A POSSIBLE METHOD OF ENHANCING THE THERAPEUTIC ACTION OF ANTIBACTERIAL SERUMS,1929-06-07,3,journal-article,17838523,1,A5091201859,Ada R. Clark,"College of Physicians and Surgeons, Columbia University",Royal College of Physicians,I4339842,2
W2026678051,A POSSIBLE METHOD OF ENHANCING THE THERAPEUTIC ACTION OF ANTIBACTERIAL SERUMS,1929-06-07,3,journal-article,17838523,1,A5091201859,Ada R. Clark,"College of Physicians and Surgeons, Columbia University",Columbia University,I78577930,3
W2042827564,Back-Action Evasion as an Alternative to Impedance Matching,1991-04-26,3,journal-article,17838485,1,A5028414708,Bernard Yurke,"At AT&amp;T Bell Laboratories, Murray Hill, NJ 07974",AT&T (United States),I1283103587,1
W2047981206,PREPARATION OF SCIENTIFIC ARTICLES,1930-08-08,2,journal-article,17838528,1,A5038784656,W. M. Davis,"Geology, Emeritus, Harvard University",Harvard University,I136199984,1
W2058686803,AN ANNOUNCEMENT IN SCIENCE,1922-12-08,2,journal-article,17838503,1,A5050197911,Vernon L. Kellogg,,,,1
W1969578893,A PIERRE DINOSAUR,1929-06-07,1,journal-article,17838519,1,A5057246859,G. R. Wieland,Yale University,Yale University,I32971472,1
W1987184489,WHAT SHALL BE TAUGHT IN THE FIRST YEAR OF COLLEGE CHEMISTRY?,1922-12-08,1,journal-article,17838495,1,A5067905136,Harry N. Holmes,,,,1
W1992014738,PROPOSED AMENDMENTS TO THE INTERNATIONAL RULES FOR BOTANICAL NOMENCLATURE,1929-06-07,1,journal-article,17838522,1,A5001568888,C. L. Shear,,,,1
W1997390318,THERE IS NO CONTROL,1930-08-08,1,journal-article,17838529,1,A5015318840,C. W. Woodworth,,,,1
W2009841888,ZYGOPHYLLUM FABAGO IN COLORADO,1929-06-07,1,journal-article,17838521,1,A5003876507,Charles F. Rogers,"Colorado Agricultural College, Fort Collins",Colorado State University,I92446798,1
W2051992140,EARLE MELVIN TERRY--1879-1929,1929-06-07,1,journal-article,17838518,1,A5087443077,L. R. Ingersoll,,,,1
W2082153489,NOTE ON THE FUSARIUM WILT DISEASE OF BANANAS,1922-12-08,1,journal-article,17838501,1,A5052693018,Mark Alfred Carleton,,,,1
W2418347413,THE RECENT SCIENTIFIC WORK OF ROBERT WHEELER WILLSON,1922-12-08,1,journal-article,17838497,1,A5072418882,Davison Mh,,,,1
W1972501224,Aspects of Magmatism,1991-04-26,0,journal-article,17838491,1,A5081655536,Paul C. Bateman,,,,1
W1989090779,THE TWENTY-FIFTH ANNIVERSARY OF INITIATION OF RESEARCH IN THE CARNEGIE INSTITUTION OF WASHINGTON,1929-06-07,0,journal-article,17838517,1,A5030606988,John C. Merriam,,,,1
W1989090779,THE TWENTY-FIFTH ANNIVERSARY OF INITIATION OF RESEARCH IN THE CARNEGIE INSTITUTION OF WASHINGTON,1929-06-07,0,journal-article,17838517,2,A5010443494,Edwin G. Conklin,,,,1
W1989090779,THE TWENTY-FIFTH ANNIVERSARY OF INITIATION OF RESEARCH IN THE CARNEGIE INSTITUTION OF WASHINGTON,1929-06-07,0,journal-article,17838517,3,A5007338851,John J. Carty,,,,1
W2014828921,Twenty-Fifth Anniversary of the Discovery of the Raman Effect,1953-07-03,0,journal-article,17838508,1,A5069154778,Somaditya Sen,,,,1
W2033768890,"GLOZEL, A MYSTERY",1930-08-08,0,journal-article,17838527,1,A5053575058,David Riesman,#N#               * University of Pennsylvania.,University of Pennsylvania,I79576946,1
W2062141740,THE COLLOIDAL STATE,1922-12-08,0,journal-article,17838502,1,A5066439313,Jerome Alexander,,,,1
W2079805445,"""The Coryphaeus of Science""",1953-07-03,0,journal-article,17838509,1,A5071953095,Ivan D. London,"Department of Psychology, Brooklyn College.",Brooklyn College,I83041322,1
W2093070068,WEATHERING UNDER CONSTANT CONDITIONS,1922-12-08,0,journal-article,17838499,1,A5032019163,Herdman F. Cleland,,,,1
W3016909228,Rainforest Assessments,1991-04-26,0,journal-article,17838490,1,A5000276807,Julie S. Denslow,,,,1
W3025409392,Reaction Pathways,1991-04-26,0,journal-article,17838492,1,A5081655536,Paul C. Bateman,,,,1
W4247338221,Primitive Systems,1991-04-26,0,journal-article,17838489,1,A5088495356,L. M. PASSANO,,,,1
W1980358232,A Method for Estimating Volume-Surface Ratios,1949-09-23,203,journal-article,17838566,1,A5050686424,H. W. Chalkley,"National Cancer Institute, Bethesda, Maryland",National Cancer Institute,I4210140884,1
W1980358232,A Method for Estimating Volume-Surface Ratios,1949-09-23,203,journal-article,17838566,2,A5041868346,Jerome Cornfield,"National Cancer Institute, Bethesda, Maryland",National Cancer Institute,I4210140884,1
W1980358232,A Method for Estimating Volume-Surface Ratios,1949-09-23,203,journal-article,17838566,3,A5024902663,Helen Park,"National Cancer Institute, Bethesda, Maryland",National Cancer Institute,I4210140884,1
W2034268510,The Presence of Sulphate Reducing Bacteria in Oil Field Waters,1926-01-01,170,journal-article,17838563,1,A5063775127,Edson S. Bastin,"The University of Chicago,",University of Chicago,I40347166,1
W2034268510,The Presence of Sulphate Reducing Bacteria in Oil Field Waters,1926-01-01,170,journal-article,17838563,2,A5046385336,Frank E. Greer,"The University of Chicago,",University of Chicago,I40347166,1
W2034268510,The Presence of Sulphate Reducing Bacteria in Oil Field Waters,1926-01-01,170,journal-article,17838563,3,A5014635909,C. A. Merritt,"The University of Chicago,",University of Chicago,I40347166,1
W2034268510,The Presence of Sulphate Reducing Bacteria in Oil Field Waters,1926-01-01,170,journal-article,17838563,4,A5004422026,Gail Francis Moulton,"The University of Chicago,",University of Chicago,I40347166,1
W2047868451,An Interpretation of the Cause of Water-repellent Sandy Soils Found in Citrus Groves of Central Florida,1949-09-23,37,journal-article,17838569,1,A5050161303,I. W. Wander,"Citrus Experiment Station, Lake Alfred, Florida",Florida Department of Citrus,I2801443033,1
W2038733477,The Specific Action of a Bacterial Enzyme on Pneumococci of Type III,1930-08-08,34,journal-article,17838541,1,A5048518209,Oswald T. Avery,"Hospital of The Rockefeller Institute for Medical Research, New York",Rockefeller University Hospital,I4210093632,1
W2038733477,The Specific Action of a Bacterial Enzyme on Pneumococci of Type III,1930-08-08,34,journal-article,17838541,1,A5048518209,Oswald T. Avery,"Hospital of The Rockefeller Institute for Medical Research, New York",Institute for Medical Research,I4210149207,2
W2038733477,The Specific Action of a Bacterial Enzyme on Pneumococci of Type III,1930-08-08,34,journal-article,17838541,2,A5016841804,René Dubos,"Hospital of The Rockefeller Institute for Medical Research, New York",Rockefeller University Hospital,I4210093632,1
W2038733477,The Specific Action of a Bacterial Enzyme on Pneumococci of Type III,1930-08-08,34,journal-article,17838541,2,A5016841804,René Dubos,"Hospital of The Rockefeller Institute for Medical Research, New York",Institute for Medical Research,I4210149207,2
W2065207546,The Production of Homozygotes through Induced Parthenogenesis,1930-08-08,30,journal-article,17838539,1,A5001148270,E. M. East,Bussey Institution,,,1
W2090006502,The Production of Bacteria-Free Amoebic Abscesses in the Liver of Cats and Observations on the Amoebae in Various Media with and Without Bacteria,1930-08-08,30,journal-article,17838540,1,A5015153576,L. R. Cleveland,"Department of Tropical Medicine, Harvard University Medical School",Harvard University,I136199984,1
